"SCPTDATA_ID","SERIES_NUM","LUSE","HABT_CODE","SPECIES","BROAD_HABITAT","DESCRIPTION","LC_2007","COUNTRY_CODE","DESCRIPTION1","Common","PC COVER"
100011350,1000,"AN","133","920607",6,"Dactylis glomerata","26s","SCO","25-50%","Cock's-foot",50
100020420,781,"AN","10001","920607",6,"Dactylis glomerata","13s","SCO","25-50%","Cock's-foot",50
100011534,1038,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
100017374,395,"AN","101","920607",5,"Dactylis glomerata","3e","ENG","10-25%","Cock's-foot",25
10211692,704,"AN","133","920607",6,"Dactylis glomerata","16e","ENG","10-25%","Cock's-foot",25
10213083,735,"AN","133","920607",6,"Dactylis glomerata","26s","SCO","25-50%","Cock's-foot",50
10212558,729,"AN","133","920607",6,"Dactylis glomerata","7e","ENG","25-50%","Cock's-foot",50
10230225,701,"AN","133","920607",6,"Dactylis glomerata","7s","SCO","10-25%","Cock's-foot",25
100022379,61,"AN","133","920607",6,"Dactylis glomerata","1e","ENG","25-50%","Cock's-foot",50
100017373,395,"AN","10001","920607",6,"Dactylis glomerata","3e","ENG","10-25%","Cock's-foot",25
100016022,143,"AN","133","920607",6,"Dactylis glomerata","3e","ENG","25-50%","Cock's-foot",50
10211985,716,"AN","133","920607",6,"Dactylis glomerata","13s","SCO","25-50%","Cock's-foot",50
100017050,1247,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","<10%","Cock's-foot",10
100017227,307,"AN","101","920607",5,"Dactylis glomerata","3e","ENG","10-25%","Cock's-foot",25
10215846,826,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100011086,563,"AN","133","920607",6,"Dactylis glomerata","5w","WAL","10-25%","Cock's-foot",25
100015860,893,"AN","133","920607",6,"Dactylis glomerata","26s","SCO","25-50%","Cock's-foot",50
10217066,864,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","10-25%","Cock's-foot",25
100017028,1247,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","<10%","Cock's-foot",10
100023712,287,"AN","10001","920607",6,"Dactylis glomerata","6w","WAL","10-25%","Cock's-foot",25
10233529,839,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
100018261,255,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","10-25%","Cock's-foot",25
10211468,733,"AN","133","920607",6,"Dactylis glomerata","13s","SCO","25-50%","Cock's-foot",50
100021448,761,"AN","133","920607",6,"Dactylis glomerata","16e","ENG","25-50%","Cock's-foot",50
100016279,191,"AN","133","920607",6,"Dactylis glomerata","2e","ENG","25-50%","Cock's-foot",50
100014231,861,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100017497,428,"AN","141","920607",4,"Dactylis glomerata","3e","ENG","10-25%","Cock's-foot",25
10230624,729,"AN","133","920607",6,"Dactylis glomerata","7e","ENG","25-50%","Cock's-foot",50
10219850,982,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","10-25%","Cock's-foot",25
100017062,1247,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","10-25%","Cock's-foot",25
100018100,513,"AN","133","920607",6,"Dactylis glomerata","4e","ENG","50-75%","Cock's-foot",75
100017234,307,"AN","10036","920607",11,"Dactylis glomerata","3e","ENG","10-25%","Cock's-foot",25
10224120,30,"AN","106","920607",41,"Dactylis glomerata","7e","ENG","50-75%","Cock's-foot",75
10215859,826,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
10215360,811,"AN","133","920607",6,"Dactylis glomerata","16e","ENG","10-25%","Cock's-foot",25
100011224,11,"AN","133","920607",6,"Dactylis glomerata","7e","ENG","10-25%","Cock's-foot",25
10221698,1102,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","50-75%","Cock's-foot",75
10216993,861,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","10-25%","Cock's-foot",25
100010453,56,"AN","101","920607",5,"Dactylis glomerata","1e","ENG","10-25%","Cock's-foot",25
100013328,25,"AN","101","920607",5,"Dactylis glomerata","6e","ENG","<10%","Cock's-foot",10
10221685,1102,"AN","101","920607",5,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100016419,358,"AN","133","920607",6,"Dactylis glomerata","1e","ENG","10-25%","Cock's-foot",25
10220972,1072,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
100013870,130,"AN","10001","920607",6,"Dactylis glomerata","4e","ENG","25-50%","Cock's-foot",50
10219316,945,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100017027,1247,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","10-25%","Cock's-foot",25
100017975,555,"AN","10035","920607",6,"Dactylis glomerata","11e","ENG","50-75%","Cock's-foot",75
100018314,316,"AN","133","920607",6,"Dactylis glomerata","6w","WAL","10-25%","Cock's-foot",25
100019135,1269,"AN","10001","920607",6,"Dactylis glomerata","17w2","WAL","10-25%","Cock's-foot",25
10224077,13,"AN","133","920607",6,"Dactylis glomerata","6e","ENG","25-50%","Cock's-foot",50
10215389,811,"AN","133","920607",6,"Dactylis glomerata","16e","ENG","25-50%","Cock's-foot",50
10230440,716,"AN","133","920607",6,"Dactylis glomerata","13s","SCO","25-50%","Cock's-foot",50
100017967,555,"AN","10035","920607",6,"Dactylis glomerata","11e","ENG","50-75%","Cock's-foot",75
10214449,777,"AN","101","920607",5,"Dactylis glomerata","25e","ENG","10-25%","Cock's-foot",25
10217017,861,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100014390,912,"AN","133","920607",6,"Dactylis glomerata","26s","SCO","10-25%","Cock's-foot",25
10218751,928,"AN","142","920607",6,"Dactylis glomerata","26s","SCO","25-50%","Cock's-foot",50
100010396,221,"AN","133","920607",6,"Dactylis glomerata","4e","ENG","10-25%","Cock's-foot",25
10214151,763,"AN","133","920607",6,"Dactylis glomerata","7s","SCO","25-50%","Cock's-foot",50
10219903,982,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","50-75%","Cock's-foot",75
100013794,111,"AN","101","920607",5,"Dactylis glomerata","2e","ENG","75-95%","Cock's-foot",95
100014142,861,"AN","142","920607",6,"Dactylis glomerata","27s","SCO","50-75%","Cock's-foot",75
10212529,729,"AN","133","920607",6,"Dactylis glomerata","7e","ENG","25-50%","Cock's-foot",50
100022796,224,"AN","133","920607",6,"Dactylis glomerata","6w","WAL","25-50%","Cock's-foot",50
10221723,1102,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100017851,533,"AN","101","920607",5,"Dactylis glomerata","11e","ENG","<10%","Cock's-foot",10
100018024,592,"AN","10001","920607",6,"Dactylis glomerata","9e","ENG","10-25%","Cock's-foot",25
10212043,718,"AN","133","920607",6,"Dactylis glomerata","7s","SCO","25-50%","Cock's-foot",50
100017447,402,"AN","101","920607",5,"Dactylis glomerata","3e","ENG","10-25%","Cock's-foot",25
100022765,225,"AN","101","920607",5,"Dactylis glomerata","6w","WAL","25-50%","Cock's-foot",50
10224121,30,"AN","106","920607",41,"Dactylis glomerata","7e","ENG","50-75%","Cock's-foot",75
100017205,305,"AN","101","920607",5,"Dactylis glomerata","11e","ENG","10-25%","Cock's-foot",25
10224618,101,"AN","101","920607",9,"Dactylis glomerata","6e","ENG","25-50%","Cock's-foot",50
10223477,1221,"AN","10001","920607",6,"Dactylis glomerata","15e","ENG","25-50%","Cock's-foot",50
10216142,827,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
100018256,255,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","10-25%","Cock's-foot",25
10228542,587,"AN","133","920607",6,"Dactylis glomerata","18e","ENG","50-75%","Cock's-foot",75
100017947,551,"AN","101","920607",5,"Dactylis glomerata","9e","ENG","10-25%","Cock's-foot",25
100022093,822,"AN","133","920607",6,"Dactylis glomerata","19s","SCO","10-25%","Cock's-foot",25
100024227,174,"AN","10001","920607",3,"Dactylis glomerata","6w","WAL","25-50%","Cock's-foot",50
100015528,763,"AN","133","920607",6,"Dactylis glomerata","7s","SCO","25-50%","Cock's-foot",50
100023601,542,"AN","133","920607",23,"Dactylis glomerata","15w","WAL","10-25%","Cock's-foot",25
10219563,958,"AN","10001","920607",6,"Dactylis glomerata","22s","SCO","25-50%","Cock's-foot",50
10219861,982,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
100013314,22,"AN","133","920607",6,"Dactylis glomerata","6e","ENG","25-50%","Cock's-foot",50
